"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Free Cash Flow","Book/sh","Cash/sh","Dividend Yield","Dividend TTM","Payout Ratio","EPS (ttm)","EPS Growth This Year","EPS Growth Past 3 Years","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 3 Years","Sales Growth Past 5 Years","Sales Growth Quarter Over Quarter","Sales","Income","Enterprise Value","EV/EBITDA","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Interest","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Month)","Performance (Quarter)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Beta","Volatility (Week)","Volatility (Month)","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Earnings Date","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",34015.33,29.53,19.78,3.65,5.13,5.54,28.61,21.61,5.23,0.82%,0.98,21.31%,4.05,5.49%,3.97%,5.63%,8.09%,1.00%,4.75%,6.04%,6628.00,1166.00,36024.33,19.33,283.94,0.48%,-1.03%,91.44%,1.95%,3.06,10.13%,18.88%,12.29%,2.09,1.60,0.55,0.57,53.95%,23.94%,17.59%,3.06%,5.52%,-14.49%,-10.57%,21.24%,1.23,1.55%,2.13%,1.60%,-3.82%,-22.16%,24.18%,56.05,8/27/2025 4:30:00 PM,2.24,1844.16,0.13,13634,119.75,-0.30%
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",7578.43,7.51,11.53,0.23,0.58,1.24,13.02,23.70,6.47,1.37%,0.40,142.65%,3.90,149.09%,-50.11%,,32.26%,-0.68%,3.03%,3.85%,13021.00,1004.00,8652.43,3.19,258.91,0.43%,0.00%,78.57%,0.81%,16.13,6.85%,20.01%,11.53%,1.65,0.97,0.42,0.43,18.81%,16.07%,7.71%,-8.33%,1.67%,-8.87%,-43.38%,102.14%,2.26,2.75%,3.35%,-2.10%,-11.80%,-38.73%,35.95%,44.77,7/16/2025 4:30:00 PM,2.14,5964.36,0.49,168377,29.27,-1.94%
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,5.48%,1.37,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.06%,0.26%,-0.06%,3.15%,,0.03,0.34%,0.40%,0.09%,-0.04%,-1.52%,2.82%,53.50,,,10.03,0.01,3,25.01,0.08%
4,"AAAA","Amplius Aggressive Asset Allocation ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,1.70%,,,,,,0.36%,0.44%,0.80%,0.80%,-1.51%,3.28%,59.61,,,124.27,0.00,0,25.68,0.00%
5,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,-2.63%,1.43%,33.03%,86.89%,69.52%,0.08,0.54%,0.70%,-0.21%,9.98%,-3.07%,35.10%,49.14,,,2738.48,0.52,81688,33.01,0.81%
6,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",295.29,,,,,1.33,,7.63,0.01,,,,,,,,,,,,,,295.05,,29.15,19.47%,0.00%,70.38%,,0.00,,,,2.92,2.92,0.00,0.00,,,,0.20%,1.81%,,,,,0.05%,0.08%,0.22%,0.80%,-0.49%,2.84%,52.73,,,86.28,0.00,1,10.13,-0.10%
7,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",58.71,,,,1.51,7.53,,0.24,0.15,,,,-0.11,,3.56%,26.78%,,5.91%,21.36%,8.11%,38.81,-3.52,60.22,,31.91,,,0.51%,0.31%,0.09,-5.59%,-37.39%,-36.00%,0.19,0.19,0.26,0.82,52.67%,-11.16%,-9.08%,75.24%,100.02%,206.67%,1.10%,67.27%,1.08,14.41%,22.58%,58.75%,87.60%,-20.00%,268.00%,57.11,3/25/2025 4:30:00 PM,1.00,229.93,0.69,8721,1.84,2.79%
8,"AACI","Armada Acquisition Corp. II","Financial","Shell Companies","USA",325.38,,,,,,,,,,,,,,,,,,,,,,,,31.59,,,,,0.01,,,,,,,,,,,2.39%,,,,,,1.05%,0.43%,2.05%,2.05%,-1.90%,3.00%,69.49,,,214.23,0.00,3,10.30,0.19%
9,"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",705.82,43.67,,,,1.32,,8.63,0.00,,,0.00%,0.26,,,,,,,,0.00,16.33,714.87,,61.86,20.21%,0.00%,92.06%,,0.08,2.97%,3.11%,3.02%,0.23,0.23,0.01,0.02,,,,-0.17%,1.15%,5.94%,,,-0.01,0.28%,0.37%,0.42%,2.28%,-1.81%,6.24%,55.24,,,406.02,0.10,2158,11.41,0.18%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,0.71%,0.59,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4.96%,3.69%,33.30%,56.69%,44.95%,0.94,0.42%,0.67%,4.57%,11.11%,-0.22%,36.05%,62.69,,,4.28,0.58,135,82.63,1.71%
