"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Free Cash Flow","Book/sh","Cash/sh","Dividend Yield","Dividend TTM","Payout Ratio","EPS (ttm)","EPS Growth This Year","EPS Growth Past 3 Years","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 3 Years","Sales Growth Past 5 Years","Sales Growth Quarter Over Quarter","Sales","Income","Enterprise Value","EV/EBITDA","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Interest","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Month)","Performance (Quarter)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Beta","Volatility (Week)","Volatility (Month)","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Earnings Date","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",33562.25,29.14,19.52,3.60,5.06,5.47,28.23,21.61,5.23,0.83%,0.98,21.31%,4.05,5.49%,3.97%,5.63%,8.09%,1.00%,4.75%,6.04%,6628.00,1166.00,35571.25,19.08,283.94,0.39%,-1.27%,91.44%,1.95%,3.06,10.13%,18.88%,12.29%,2.09,1.60,0.55,0.57,53.95%,23.94%,17.59%,3.65%,3.85%,-13.14%,-10.46%,22.69%,1.24,1.66%,2.16%,0.37%,-5.19%,-23.20%,22.52%,52.81,8/27/2025 4:30:00 PM,2.24,1856.42,0.00,0,118.15,0.00%
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",7676.82,7.61,11.68,0.24,0.59,1.25,13.19,23.70,6.47,1.35%,0.40,142.65%,3.90,149.09%,-50.11%,,32.26%,-0.68%,3.03%,3.85%,13021.00,1004.00,8750.82,3.23,258.91,0.43%,0.00%,78.60%,0.81%,16.13,6.85%,20.01%,11.53%,1.65,0.97,0.42,0.43,18.81%,16.07%,7.71%,-4.29%,0.82%,-7.60%,-43.80%,98.20%,2.25,3.64%,3.40%,-0.77%,-10.80%,-37.93%,37.71%,46.69,7/16/2025 4:30:00 PM,2.14,6001.86,0.02,5119,29.65,0.07%
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,5.49%,1.37,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.02%,0.18%,-0.20%,2.90%,,0.03,0.40%,0.41%,0.02%,-0.12%,-1.59%,2.73%,50.97,,,10.05,0.00,0,25.00,0.00%
4,"AAAA","Amplius Aggressive Asset Allocation ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,2.68%,,,,,,0.51%,0.45%,1.52%,1.52%,-0.84%,3.98%,67.85,,,129.40,0.00,0,25.86,0.00%
5,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,-0.48%,4.34%,35.94%,85.67%,72.48%,0.08,0.56%,0.69%,-0.49%,9.86%,-3.35%,34.71%,46.76,,,2770.02,0.00,0,32.91,0.00%
6,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",295.29,,,,,1.33,,7.63,0.01,,,,,,,,,,,,,,295.05,,29.15,19.47%,0.00%,70.38%,,0.00,,,,2.92,2.92,0.00,0.00,,,,0.30%,2.01%,,,,,0.09%,0.08%,0.28%,0.82%,-0.49%,2.84%,53.37,,,86.30,0.00,0,10.13,0.00%
7,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",63.82,,,,1.64,8.18,,0.24,0.15,,,,-0.11,,3.56%,26.78%,,5.91%,21.36%,8.11%,38.81,-3.52,65.33,,31.91,,,0.51%,0.31%,0.09,-5.59%,-37.39%,-36.00%,0.19,0.19,0.26,0.82,52.67%,-11.16%,-9.08%,143.90%,117.41%,240.47%,6.95%,65.29%,1.07,18.42%,23.51%,78.37%,105.69%,-13.04%,300.00%,61.41,3/25/2025 4:30:00 PM,1.00,229.51,0.00,0,2.00,0.00%
8,"AACI","Armada Acquisition Corp. II","Financial","Shell Companies","USA",325.06,,,,,,,,,,,,,,,,,,,,,,,,31.59,,,,,0.01,,,,,,,,,,,2.59%,,,,,,1.03%,0.42%,2.06%,2.06%,-2.00%,2.90%,69.57,,,220.12,0.00,0,10.29,0.00%
9,"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",704.58,43.59,,,,1.32,,8.63,0.00,,,0.00%,0.26,,,,,,,,0.00,16.33,713.63,,61.86,20.21%,0.00%,84.32%,,0.08,2.97%,3.11%,3.02%,0.23,0.23,0.01,0.02,,,,0.26%,1.06%,5.90%,,,-0.01,0.28%,0.39%,0.24%,2.15%,-1.98%,6.05%,50.60,,,416.15,0.00,0,11.39,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,0.72%,0.59,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4.19%,4.73%,35.83%,57.30%,42.04%,0.94,0.44%,0.69%,4.37%,10.93%,-0.60%,35.53%,64.12,,,4.32,0.00,0,82.32,0.00%
